# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	211804
#@/user_id	linux
a 	啊	c=456 d=1.87061 t=211804
hong hong lie lie 	轟轟烈烈	c=1 d=1.58812e-30 t=211804
hong hu 	洪湖	c=1 d=1.41295e-08 t=211804
hong huo 	紅火	c=1 d=1 t=210574
hong jing 	紅警	c=1 d=0.0206508 t=211804
hong jiu 	紅酒	c=0 d=0.1 t=174530
hong jiu bei 	紅酒盃	c=3 d=2.74334 t=174562
hong li 	紅利	c=1 d=0.174645 t=211804
hong ling jin 	紅領巾	c=2 d=1.8349e-29 t=211804
hong lou 	紅樓	c=1 d=4.35813e-24 t=211804
hong lou meng 	紅樓夢	c=13 d=0.000808767 t=211804
hong mao 	紅帽	c=0 d=1.39405e-27 t=211804
hong mao xi 	紅帽系	c=1 d=1.40104e-26 t=211804
hong mian 	紅面	c=0 d=0.000835412 t=211804
hong mian chuan shuo 	紅面傳說	c=4 d=0.946495 t=211804
hong nei he 	宏內核	c=5 d=5.33953e-31 t=211804
hong ni 	虹霓	c=1 d=1 t=189840
hong pian 	哄騙	c=1 d=6.05254e-35 t=211804
hong pian ju zhu 	鴻篇鉅著	c=1 d=1.30921e-52 t=211804
hong se 	紅色	c=10 d=1.26555e-06 t=211804
hong se gong cheng shi 	紅色工程師	c=2 d=1.9802 t=170452
hong se jing jie 	紅色警戒	c=2 d=0.489192 t=211804
hong tao 	洪濤	c=1 d=1 t=169058
hong tuo 	烘托	c=2 d=0.838415 t=211804
hong wan 	紅丸	c=2 d=1.00016 t=184468
hong xian 	紅線	c=1 d=1 t=154785
hong ye 	紅葉	c=1 d=0.0972957 t=211804
hong yuan 	宏願	c=2 d=0.477114 t=211804
hong zhua 	鴻爪	c=7 d=1 t=210216
hong zhuan 	紅磚	c=2 d=1.92312 t=174529
hou 	候	c=3 d=1.28795e-47 t=211804
hou 	厚	c=1 d=1 t=160723
hou 	後	c=263 d=1.31123 t=211804
hou ba zhou 	後八週	c=1 d=0.00012465 t=211804
hou ban bu fen 	後半部分	c=3 d=2.77556e-10 t=211804
hou ban duan 	後半段	c=3 d=1.20871 t=211804
hou bi yun 	後鼻韻	c=1 d=1 t=199663
hou bu 	後部	c=2 d=2.0403e-07 t=211804
hou cheng 	後程	c=1 d=7.12013e-05 t=211804
hou chu xian 	後出現	c=1 d=8.8659e-26 t=211804
hou duan 	後端	c=31 d=0.027759 t=211804
hou fa 	後發	c=1 d=0.0930145 t=211804
hou fu 	後富	c=1 d=1.27428e-28 t=211804
hou fu 	後附	c=3 d=0.773854 t=211804
hou gong 	後宮	c=1 d=7.34798e-52 t=211804
hou guo 	後果	c=9 d=0.00579237 t=211804
hou han 	後漢	c=0 d=4.30348e-53 t=211804
hou han yan yi 	後漢演義	c=1 d=4.32505e-52 t=211804
hou hua 	後話	c=1 d=1 t=209471
hou huan 	後患	c=0 d=4.51889e-10 t=211804
hou ji 	後繼	c=5 d=7.11394e-22 t=211804
hou ji 	後記	c=2 d=0.00311782 t=211804
hou ji jie dian 	後繼節點	c=1 d=2.15669e-42 t=211804
hou ji zhuang tai 	後繼狀態	c=2 d=1 t=205563
hou jian zhi 	後剪枝	c=1 d=1.00635e-45 t=211804
hou jiao 	吼叫	c=1 d=1.65491e-44 t=211804
hou kong fan 	後空翻	c=1 d=7.51966e-59 t=211804
hou lai 	後來	c=29 d=0.0968105 t=211804
hou lai zhe 	後來者	c=1 d=1.75211e-39 t=211804
hou ma 	後馬	c=1 d=1 t=210029
hou men 	侯門	c=1 d=1 t=205257
hou men 	後門	c=1 d=4.46389e-12 t=211804
hou mian 	後面	c=96 d=0.737168 t=211804
hou pa 	後怕	c=2 d=1.09567e-16 t=211804
hou qi 	後期	c=4 d=0.00162053 t=211804
hou qin 	後勤	c=3 d=4.86935e-36 t=211804
hou san tiao 	後三條	c=1 d=1 t=206393
hou she 	喉舌	c=2 d=5.91515e-50 t=211804
hou shi 	厚實	c=1 d=3.07102e-53 t=211804
hou shi zhi shi 	後事之師	c=1 d=9.38184e-15 t=211804
hou tai 	後臺	c=5 d=8.499e-14 t=211804
hou tian 	後天	c=1 d=0.00169512 t=211804
hou tui 	後退	c=1 d=2.35987e-13 t=211804
hou wei 	後衛	c=1 d=1.79983e-61 t=211804
hou xian dai 	後現代	c=1 d=1 t=209953
hou xiang qian 	後向前	c=1 d=7.9906e-09 t=211804
hou xu 	後序	c=3 d=1.02448 t=211109
hou xu 	後續	c=13 d=0.00390048 t=211804
hou xuan 	候選	c=15 d=1.14443 t=211523
hou yan 	後驗	c=1 d=1.1542e-40 t=211804
hou yan wu chi 	厚顏無恥	c=1 d=9.02319e-27 t=211804
hou yao 	後搖	c=1 d=6.41479e-13 t=211804
hou yi qing 	後疫情	c=5 d=1 t=198895
hou yi zheng 	後遺症	c=3 d=5.09747e-07 t=211804
hou yi zhong 	後一種	c=4 d=3.72032e-35 t=211804
hou yin 	喉音	c=1 d=2.18824e-07 t=211804
hou zhe 	後者	c=17 d=0.159614 t=211804
hou zhe ba 	後者吧	c=1 d=1.36009e-30 t=211804
hou zhi 	後置	c=2 d=1 t=203509
hou zhong 	厚重	c=2 d=1.04224e-37 t=211804
hou zhuan 	後傳	c=1 d=7.76211e-50 t=211804
hou zhui 	後綴	c=5 d=1.13392e-08 t=211804
hou zuo 	後座	c=1 d=1 t=154468
hu 	互	c=3 d=1.06908e-47 t=211804
hu 	呼	c=1 d=2.90232e-06 t=211804
hu 	壺	c=1 d=7.35596e-07 t=211804
hu 	戶	c=1 d=6.7144e-50 t=211804
hu 	胡	c=3 d=4.78578e-37 t=211804
hu an gang 	胡鞍鋼	c=1 d=0.0043831 t=211804
hu bei 	湖北	c=4 d=3.61775e-10 t=211804
hu bu 	互不	c=3 d=0.025962 t=211804
hu bu 	互補	c=7 d=1.76721 t=205110
hu bu fen bu 	互不分佈	c=3 d=2.11657 t=171621
hu bu gan rao 	互不干擾	c=1 d=0.0239928 t=211804
hu bu xiang tong 	互不相同	c=1 d=3.20844e-68 t=211804
hu bu ying xiang 	互不影響	c=1 d=0.236928 t=211804
hu chi 	互斥	c=22 d=6.49271e-08 t=211804
hu chi fang wen 	互斥訪問	c=3 d=4.87407e-25 t=211804
hu chi liang 	互斥量	c=1 d=3.30233e-25 t=211804
hu chi suo 	互斥鎖	c=1 d=3.66469e-44 t=211804
hu chu 	呼出	c=1 d=3.89885e-08 t=211804
hu cong 	扈從	c=1 d=4.64765e-16 t=211804
hu dong 	互動	c=4 d=2.29996e-34 t=211804
hu dong xiao shuo 	互動小說	c=9 d=5.04262e-05 t=211804
hu gui na 	互歸納	c=1 d=2.15963e-58 t=211804
hu huan 	互換	c=0 d=5.93351e-67 t=211804
hu huan 	呼喚	c=1 d=1.85344e-24 t=211804
hu huan wei zhi 	互換位置	c=1 d=5.96325e-66 t=211804
hu ji 	戶籍	c=1 d=1 t=209850
hu jia 	胡笳	c=1 d=1 t=172463
hu jia shi ba pai 	胡笳十八拍	c=2 d=1.99501 t=181955
hu jiao man chan 	胡攪蠻纏	c=1 d=4.03704e-06 t=211804
hu jin tao 	胡錦濤	c=1 d=1 t=173274
hu lang 	虎狼	c=1 d=2.93149e-06 t=211804
hu li hu tu 	糊里糊塗	c=1 d=9.37037e-30 t=211804
hu lian 	互連	c=6 d=7.07475e-18 t=211804
hu lian wang 	互聯網	c=30 d=3.12029e-05 t=211804
hu lian wang gong si 	互聯網公司	c=1 d=1 t=193272
hu lian wang luo 	互聯網絡	c=1 d=9.47552e-73 t=211804
hu lian wang she qu 	互聯網社區	c=1 d=2.55685e-15 t=211804
hu lian wang shi dai 	互聯網時代	c=1 d=1 t=199816
hu lu 	葫蘆	c=1 d=1 t=189155
hu luan 	胡亂	c=1 d=4.55329e-10 t=211804
hu lun tun zao 	囫圇吞棗	c=1 d=7.38379e-21 t=211804
hu lve 	忽略	c=16 d=0.030809 t=211804
hu lve le 	忽略了	c=1 d=1.60993e-14 t=211804
hu nan 	湖南	c=2 d=1.0367 t=185478
hu po 	琥珀	c=2 d=2.31542e-45 t=211804
hu qi 	呼氣	c=2 d=6.90744e-08 t=211804
hu qi yin 	呼氣音	c=3 d=1.63143e-07 t=211804
hu ran 	忽然	c=2 d=6.80914e-09 t=211804
hu shen fu 	護身符	c=1 d=7.06873e-08 t=211804
hu sheng 	呼聲	c=1 d=1.83344e-14 t=211804
hu shi 	忽視	c=1 d=1 t=204050
hu shi 	胡適	c=2 d=1 t=204049
hu shi 	護士	c=1 d=1 t=182238
hu shi le 	忽視了	c=1 d=8.63377e-08 t=211804
hu si luan xiang 	胡思亂想	c=1 d=0.00100276 t=211804
hu tong 	互通	c=1 d=4.49635e-09 t=211804
hu tou she wei 	虎頭蛇尾	c=1 d=5.15149e-21 t=211804
hu tu 	糊塗	c=3 d=0.00251621 t=211804
hu wai 	戶外	c=1 d=7.62292e-43 t=211804
hu wei 	互爲	c=0 d=1.10935e-16 t=211804
hu wei dui li 	互爲對立	c=1 d=1.11491e-15 t=211804
hu xi 	呼吸	c=1 d=1 t=185719
hu xiang 	互相	c=2 d=1.42459e-75 t=211804
hu xiao qian 	胡孝乾	c=1 d=0.0773047 t=211804
hu xu 	鬍鬚	c=2 d=1.34797e-05 t=211804
hu yi 	互易	c=4 d=0.556495 t=211804
hu yi 	互異	c=1 d=1 t=196904
hu ying 	呼應	c=1 d=0.00449405 t=211804
hu yu 	呼籲	c=1 d=1 t=185102
hua 	化	c=45 d=0.453849 t=211804
hua 	畫	c=8 d=7.33265e-06 t=211804
hua 	花	c=10 d=0.630918 t=211804
hua 	華	c=6 d=0.00491728 t=211804
hua 	話	c=150 d=1.58353 t=211804
hua bei 	華北	c=2 d=1 t=184731
hua ben 	話本	c=4 d=3.56179 t=195103
hua bian 	花邊	c=1 d=1 t=197894
hua bu 	畫布	c=11 d=0.00047843 t=211804
hua bu liao 	花不了	c=1 d=2.40051e-08 t=211804
hua bu wan 	花不完	c=1 d=1 t=166034
hua cai 	花彩	c=1 d=9.21801e-43 t=211804
hua cheng 	化成	c=3 d=1.19885e-16 t=211804
hua chu 	畫出	c=3 d=2.47017e-21 t=211804
hua chu lai 	畫出來	c=3 d=3.25604e-06 t=211804
hua chuan 	畫船	c=1 d=1 t=195040
hua cu 	花簇	c=0 d=4.33035e-38 t=211804
hua dan 	華誕	c=1 d=1 t=172147
hua dao 	劃到	c=1 d=6.78326e-23 t=211804
hua de 	花的	c=1 d=4.77439e-09 t=211804
hua dian 	畫點	c=0 d=2.19353e-07 t=211804
hua diao 	劃掉	c=1 d=3.9947e-29 t=211804
hua die 	化蝶	c=1 d=1.13369e-35 t=211804
hua er bu shi 	華而不實	c=1 d=1 t=178028
hua er jie 	華爾街	c=1 d=1 t=209852
hua fa 	畫法	c=1 d=6.95261e-19 t=211804
hua fei 	花費	c=4 d=2.51664e-05 t=211804
hua fen 	劃分	c=27 d=0.243609 t=211804
hua fen hou 	劃分後	c=1 d=1.15404e-09 t=211804
hua fen wei 	劃分爲	c=2 d=6.42921e-10 t=211804
hua feng yi zhuan 	話鋒一轉	c=1 d=0.752014 t=211804
hua hua 	花花	c=3 d=9.04323e-20 t=211804
hua hua gong zi 	花花公子	c=1 d=0.0500366 t=211804
hua hua shui 	畫划水	c=1 d=1 t=161410
hua hua suo 	花花所	c=1 d=1.80768e-24 t=211804
hua ji 	滑稽	c=4 d=3.02859e-07 t=211804
hua ji ge 	畫幾個	c=1 d=3.30524e-06 t=211804
hua jia 	畫家	c=1 d=0.0925506 t=211804
hua jian 	化簡	c=6 d=1.6351e-20 t=211804
hua jie 	化解	c=2 d=2.70703e-10 t=211804
hua ju 	話劇	c=5 d=2.42749e-25 t=211804
hua lao 	話癆	c=1 d=2.42959e-32 t=211804
hua le 	花了	c=4 d=6.1463e-10 t=211804
hua li 	華麗	c=2 d=4.12069e-12 t=211804
hua mei 	華美	c=1 d=1 t=196034
hua mian 	畫面	c=6 d=0.296724 t=211804
hua mian shang 	畫面上	c=1 d=0.168638 t=211804
hua ming 	化名	c=5 d=1 t=191514
hua neng 	華能	c=1 d=1 t=189595
hua qing jie xian 	劃清界限	c=1 d=1.89024e-20 t=211804
hua qu 	劃去	c=1 d=6.12378e-55 t=211804
hua shen 	化身	c=1 d=0.0192547 t=211804
hua shen 	花神	c=1 d=1.14524e-66 t=211804
hua shi jian 	花時間	c=1 d=2.46455e-53 t=211804
hua shu 	話術	c=8 d=2.82215e-13 t=211804
hua shui 	划水	c=0 d=0.1 t=161409
hua shuo 	話說	c=76 d=0.356551 t=211804
hua shuo dao 	話說到	c=1 d=1 t=197474
hua shuo hui lai 	話說回來	c=2 d=3.78813e-22 t=211804
hua sui ru ci 	話雖如此	c=1 d=5.7595e-10 t=211804
hua ti 	話題	c=15 d=0.00332928 t=211804
hua tu 	畫圖	c=3 d=1.48489e-18 t=211804
hua wei 	化爲	c=4 d=5.33499e-21 t=211804
hua wei 	華爲	c=19 d=0.429539 t=211804
hua xin feng 	花信風	c=1 d=0.847894 t=211804
hua xue 	化學	c=2 d=3.50644e-42 t=211804
hua yang 	花樣	c=0 d=0.1 t=208164
hua yang duo 	花樣多	c=1 d=1 t=208165
hua yi 	華義	c=1 d=1.01809e-05 t=211804
hua you dian duo 	話有點多	c=1 d=0.00172074 t=211804
hua yu 	話語	c=3 d=0.527292 t=211804
hua yu quan 	話語權	c=1 d=1.32995e-31 t=211804
hua zai 	畫在	c=1 d=1 t=154396
hua zai 	花在	c=3 d=2.8527e-09 t=211804
hua zhong dian 	劃重點	c=1 d=1 t=164140
hua zhuang 	化妝	c=2 d=1.60879e-25 t=211804
hua zhuang gong ju 	化妝工具	c=1 d=1.43626e-24 t=211804
hua zhuang pin 	化妝品	c=2 d=0.116484 t=211804
hua zi 	華子	c=1 d=1 t=193592
hua zuo 	畫作	c=4 d=9.40133e-10 t=211804
huai 	壞	c=1 d=9.6344e-05 t=211804
huai chu 	壞處	c=1 d=1.8685e-31 t=211804
huai hen 	懷恨	c=1 d=1 t=180501
huai nian 	懷念	c=4 d=1.03865e-05 t=211804
huai pi qi 	壞脾氣	c=2 d=1.14586e-34 t=211804
huai shi 	壞事	c=2 d=0.000113922 t=211804
huai yi 	懷疑	c=6 d=0.211189 t=211804
huai yi lun 	懷疑論	c=1 d=6.0715e-13 t=211804
huai yuan 	懷遠	c=1 d=1 t=200181
huai yun 	懷孕	c=2 d=0.509487 t=211804
huai zhe 	懷着	c=1 d=1.39524e-36 t=211804
huan 	寰	c=1 d=4.48398e-06 t=211804
huan 	幻	c=2 d=4.25777e-07 t=211804
huan 	換	c=9 d=0.66034 t=211804
huan 	獾	c=1 d=8.43925e-34 t=211804
huan 	環	c=9 d=0.0865022 t=211804
huan 	還	c=6 d=2.33599e-11 t=211804
huan ban 	換班	c=5 d=1.22941e-18 t=211804
huan cheng 	換成	c=21 d=0.0186856 t=211804
huan cheng le 	換成了	c=1 d=5.89006e-09 t=211804
huan chong 	緩衝	c=7 d=8.70883e-11 t=211804
huan chong qi 	緩衝器	c=1 d=2.18177e-31 t=211804
huan chong qu 	緩衝區	c=24 d=0.00419023 t=211804
huan chu 	換出	c=7 d=8.79975e-45 t=211804
huan chu qu 	換出去	c=1 d=7.60971e-52 t=211804
huan cun 	緩存	c=14 d=0.000739157 t=211804
huan cun hang 	緩存行	c=2 d=7.50827e-15 t=211804
huan dao 	換到	c=1 d=8.46857e-16 t=211804
huan deng pian 	幻燈片	c=1 d=8.48471e-09 t=211804
huan di fang 	換地方	c=1 d=1.51123e-05 t=211804
huan diao 	換掉	c=1 d=2.2049e-08 t=211804
huan fang 	幻方	c=2 d=9.32081e-77 t=211804
huan ge 	換個	c=10 d=0.00355079 t=211804
huan ge jiao du 	換個角度	c=1 d=0.0023344 t=211804
huan guan 	宦官	c=1 d=7.49641e-52 t=211804
huan hang 	換行	c=2 d=1.76821e-29 t=211804
huan he 	緩和	c=1 d=1.08303e-56 t=211804
huan hu 	歡呼	c=1 d=1 t=165857
huan hui 	換回	c=3 d=2.58123e-09 t=211804
huan hui lai 	換回來	c=1 d=7.42182e-52 t=211804
huan jian 	幻劍	c=3 d=1.45598e-08 t=211804
huan jie 	換屆	c=10 d=1.22983e-22 t=211804
huan jie 	環節	c=62 d=0.00275318 t=211804
huan jie 	緩解	c=1 d=1 t=185702
huan jie ei 	環節誒	c=2 d=6.61803e-27 t=211804
huan jing 	幻境	c=1 d=0.847894 t=211804
huan jing 	環境	c=57 d=0.843665 t=211804
huan jing bian liang 	環境變量	c=3 d=0.000911882 t=211804
huan ju hua shuo 	換句話說	c=1 d=1 t=159912
huan jue 	幻覺	c=2 d=1.61849e-65 t=211804
huan lai 	換來	c=1 d=6.93067e-70 t=211804
huan le 	換了	c=3 d=0.316637 t=211804
huan le 	歡樂	c=5 d=0.980199 t=211804
huan le ba 	換了吧	c=1 d=3.19374e-14 t=211804
huan le yi ge 	換了一個	c=1 d=1.97012e-07 t=211804
huan le ying xiong 	歡樂英雄	c=2 d=3.32984e-05 t=211804
huan lian wang 	環聯網	c=1 d=1 t=167798
huan lu 	換路	c=1 d=0.697676 t=211804
huan man 	緩慢	c=13 d=0.634448 t=211804
huan meng 	幻夢	c=0 d=6.8161e-22 t=211804
huan meng jing 	幻夢境	c=11 d=4.56966e-13 t=211804
huan mie 	幻滅	c=1 d=1.58478e-64 t=211804
huan ming 	換名	c=4 d=4.6159e-43 t=211804
huan qi 	喚起	c=4 d=4.36035e-30 t=211804
huan ru 	宦孺	c=1 d=4.85134e-50 t=211804
huan ru 	換入	c=2 d=8.90256e-45 t=211804
huan shang 	換上	c=1 d=1.39381e-24 t=211804
huan sheng 	歡聲	c=1 d=1 t=189844
huan shi jie 	環世界	c=1 d=0.869358 t=211804
huan shi lu 	幻世錄	c=1 d=4.82073e-05 t=211804
huan shu 	幻數	c=1 d=0.000376347 t=211804
huan shu 	還書	c=1 d=8.33087e-29 t=211804
huan shui 	換水	c=1 d=4.64528e-10 t=211804
huan suan 	換算	c=1 d=0.00146986 t=211804
huan suan fa 	換算法	c=1 d=0.0147723 t=211804
huan teng 	歡騰	c=1 d=1 t=189596
huan wei 	換位	c=1 d=1 t=165588
huan wei 	換爲	c=5 d=0.00145173 t=211804
huan wei 	環衛	c=0 d=7.55245e-23 t=211804
huan wei ke 	環衛科	c=1 d=7.59031e-22 t=211804
huan xi 	歡喜	c=1 d=2.02509e-66 t=211804
huan xiang 	幻想	c=4 d=4.55174e-06 t=211804
huan xin gu wu 	歡欣鼓舞	c=1 d=2.04545e-66 t=211804
huan xing 	喚醒	c=10 d=9.70776e-05 t=211804
huan xing 	環形	c=0 d=1.27906e-73 t=211804
huan xing 	緩刑	c=1 d=1 t=183463
huan xing wang 	環形網	c=1 d=1.28547e-72 t=211804
huan yan zhi 	換言之	c=8 d=0.0026852 t=211804
huan yi ge 	換一個	c=3 d=0.0194482 t=211804
huan yi xia 	換一下	c=1 d=3.68494e-50 t=211804
huan ying 	歡迎	c=38 d=0.00151098 t=211804
huan ying huan ying 	歡迎歡迎	c=1 d=1.76184e-16 t=211804
huan yuan 	換源	c=2 d=1.60911e-08 t=211804
huan yuan 	還原	c=2 d=0.000301245 t=211804
huan yuan du 	還原度	c=1 d=0.00302755 t=211804
huan zhe 	患者	c=2 d=4.44026e-49 t=211804
huang 	慌	c=1 d=8.03612e-17 t=211804
huang 	煌	c=1 d=1 t=203075
huang 	荒	c=1 d=1 t=203071
huang 	黃	c=3 d=0.067368 t=211804
huang dao 	黃導	c=1 d=1 t=173467
huang di 	皇帝	c=3 d=2.43931e-07 t=211804
huang fei 	荒廢	c=1 d=1 t=209090
huang fei 	黃妃	c=4 d=0.036527 t=211804
huang gu 	黃姑	c=1 d=2.03012e-07 t=211804
huang gua 	黃瓜	c=1 d=2.14301e-26 t=211804
huang he 	黃河	c=1 d=1 t=182328
huang hou 	皇后	c=2 d=1.73108e-07 t=211804
huang hun 	黃昏	c=1 d=0.000100034 t=211804
huang huo 	黃禍	c=2 d=8.02725e-48 t=211804
huang jiao ye wai 	荒郊野外	c=1 d=9.35285e-08 t=211804
huang jin 	黃金	c=2 d=2.94719e-10 t=211804
huang jun xiong 	黃俊雄	c=1 d=0.282239 t=211804
huang lei 	黃磊	c=1 d=2.3696e-32 t=211804
huang luan 	慌亂	c=1 d=2.89532e-07 t=211804
huang lun 	遑論	c=1 d=0.117655 t=211804
huang mao 	黃貓	c=5 d=1.15642 t=173795
huang shan 	荒山	c=0 d=0.1 t=185735
huang shan zhi ye 	荒山之夜	c=1 d=1 t=185736
huang si jin 	黃絲巾	c=1 d=0.677057 t=211804
huang tai 	荒苔	c=0 d=0.1 t=204655
huang tian 	黃田	c=0 d=1.46757e-14 t=211804
huang tian ba 	黃田壩	c=4 d=0.0071503 t=211804
huang tu 	黃土	c=0 d=0.000640933 t=211804
huang tu cun 	黃土村	c=1 d=1 t=161977
huang tu jie 	黃土街	c=8 d=0.501576 t=211804
huang tu she qu 	黃土社區	c=2 d=0.00644146 t=211804
huang wang 	黃王	c=1 d=7.36097e-14 t=211804
huang yan pei 	黃炎培	c=2 d=1 t=196418
huang yi 	黃易	c=2 d=3.3774e-05 t=211804
huang yu fei 	黃宇飛	c=4 d=1 t=181318
huang zhan 	黃霑	c=1 d=3.68005e-05 t=211804
huang zong 	黃總	c=1 d=1 t=168146
hui 	回	c=25 d=0.0804596 t=211804
hui 	惠	c=3 d=0.00555762 t=211804
hui 	慧	c=1 d=5.62878e-34 t=211804
hui 	揮	c=1 d=3.18095e-55 t=211804
hui 	暉	c=1 d=1 t=172235
hui 	會	c=402 d=1.907 t=211804
hui 	毀	c=1 d=7.65877e-10 t=211804
hui 	洄	c=1 d=1 t=210262
hui 	灰	c=1 d=0.00878245 t=211804
hui 	繪	c=1 d=0.00114769 t=211804
hui 	輝	c=1 d=0.0100449 t=211804
hui ba 	會把	c=1 d=2.3383e-52 t=211804
hui bang 	揮棒	c=1 d=2.55677e-44 t=211804
hui bao 	彙報	c=17 d=8.27241e-05 t=211804
hui bao biao 	彙報表	c=1 d=1 t=157376
hui bei 	會被	c=2 d=6.30083e-08 t=211804
hui bi 	會比	c=4 d=9.6267e-10 t=211804
hui bian 	彙編	c=15 d=0.0170833 t=211804
hui bian qi 	彙編器	c=2 d=0.0688697 t=211804
hui bian yu yan 	彙編語言	c=1 d=0.00197932 t=211804
hui bu hui 	回不回	c=1 d=0.0385808 t=211804
hui bu hui 	會不會	c=6 d=0.00380091 t=211804
hui bu liao 	回不了	c=1 d=5.81541e-06 t=211804
hui bu qu 	回不去	c=1 d=7.49156e-15 t=211804
hui chen 	灰塵	c=2 d=5.0933e-05 t=211804
hui chi fang qiu 	揮斥方遒	c=1 d=2.3831e-40 t=211804
hui cui 	薈萃	c=2 d=0.263887 t=211804
hui da 	回答	c=13 d=4.94277e-05 t=211804
hui da cuo wu 	回答錯誤	c=1 d=1 t=175802
hui dao 	回到	c=20 d=0.62843 t=211804
hui dao zhi 	會導致	c=3 d=0.000450569 t=211804
hui diao 	回調	c=3 d=0.00138785 t=211804
hui dui 	會對	c=1 d=2.94659e-37 t=211804
hui er 	會兒	c=0 d=1.6957e-08 t=211804
hui fa 	揮發	c=0 d=7.62292e-44 t=211804
hui fa xian 	會發現	c=2 d=1.21908e-07 t=211804
hui fang 	回放	c=5 d=0.00904211 t=211804
hui fang 	回訪	c=1 d=0.0020601 t=211804
hui fang wen jian 	回放文件	c=1 d=0.00224287 t=211804
hui fei yan mie 	灰飛煙滅	c=1 d=1.25339e-10 t=211804
hui fu 	回覆	c=53 d=0.960789 t=211804
hui fu 	恢復	c=36 d=0.960844 t=211804
hui gei 	會給	c=2 d=3.63774e-16 t=211804
hui geng da 	會更大	c=1 d=5.34516e-14 t=211804
hui gu 	回顧	c=20 d=0.0307336 t=211804
hui gu xing 	回顧性	c=1 d=1 t=185682
hui gui 	回歸	c=6 d=0.000837575 t=211804
hui gun 	回滾	c=3 d=9.71536e-06 t=211804
hui guo 	悔過	c=2 d=1.98511 t=198764
hui han 	回函	c=2 d=4.62289e-12 t=211804
hui he 	匯合	c=1 d=1.17128e-07 t=211804
hui hen 	悔恨	c=2 d=8.05063e-08 t=211804
hui hua 	會話	c=3 d=3.38892e-06 t=211804
hui hua 	繪畫	c=2 d=1.08123e-07 t=211804
hui huai 	毀壞	c=2 d=6.72834e-45 t=211804
hui huang 	輝煌	c=2 d=1.94649 t=191987
hui huang zhuan lv 	回黃轉綠	c=1 d=0.0349094 t=211804
hui hui 	回回	c=1 d=8.51074e-45 t=211804
hui ji 	回擊	c=1 d=1 t=181090
hui ji 	彙集	c=2 d=1.16544e-07 t=211804
hui ji 	惠及	c=0 d=0.1 t=178365
hui ji da zhong 	惠及大衆	c=1 d=1 t=178366
hui jia 	回家	c=4 d=1.40567e-06 t=211804
hui jian 	會見	c=3 d=1.02295 t=174168
hui jiang 	會將	c=4 d=3.93736e-06 t=211804
hui jin 	灰燼	c=2 d=0.0356467 t=211804
hui jing 	回京	c=2 d=2.71013e-48 t=211804
hui jue de 	會覺得	c=1 d=2.78227e-09 t=211804
hui kan 	揮砍	c=1 d=2.43381e-23 t=211804
hui ke shi 	會客室	c=1 d=1 t=196916
hui kou 	回扣	c=2 d=1 t=187961
hui kui 	回饋	c=0 d=5.0624e-52 t=211804
hui kui she hui 	回饋社會	c=1 d=5.08777e-51 t=211804
hui lai 	回來	c=13 d=0.00116546 t=211804
hui liu liu 	灰溜溜	c=1 d=6.85143e-23 t=211804
hui lu 	迴路	c=3 d=9.92074e-25 t=211804
hui lv 	匯率	c=1 d=0.202909 t=211804
hui mian 	會面	c=1 d=4.47773e-19 t=211804
hui mie 	毀滅	c=5 d=0.000483239 t=211804
hui min 	惠民	c=1 d=4.91461e-26 t=211804
hui mo ru shen 	諱莫如深	c=1 d=0.00167826 t=211804
hui pai 	揮拍	c=2 d=3.54256e-55 t=211804
hui qin shi 	回寢室	c=1 d=1.89082e-53 t=211804
hui qu 	回去	c=18 d=0.882647 t=211804
hui qu 	會去	c=1 d=1.51303e-19 t=211804
hui rang 	會讓	c=0 d=0.00424257 t=211804
hui rang ta men 	會讓他們	c=1 d=2.40631e-07 t=211804
hui rao 	迴繞	c=1 d=9.1168e-30 t=211804
hui rao xu lie 	迴繞序列	c=2 d=1.59981e-29 t=211804
hui se 	晦澀	c=2 d=0.00017956 t=211804
hui se 	灰色	c=4 d=0.00402593 t=211804
hui shang 	會上	c=1 d=1 t=185022
hui sheng 	回聲	c=1 d=5.39027e-54 t=211804
hui shi 	回事	c=1 d=5.21657e-51 t=211804
hui shi 	會是	c=2 d=1.24472e-46 t=211804
hui shi de 	會使得	c=2 d=1.61061e-22 t=211804
hui shi yong 	會使用	c=2 d=1.92312 t=201824
hui shou 	回收	c=7 d=5.10822e-10 t=211804
hui shou 	回首	c=1 d=2.2881e-32 t=211804
hui shou 	揮手	c=1 d=1 t=200159
hui shou gao bie 	揮手告別	c=1 d=1 t=200144
hui shuo 	會說	c=1 d=2.13973e-08 t=211804
hui si tong 	惠斯通	c=8 d=0.620755 t=211804
hui su 	回溯	c=3 d=1.94682e-49 t=211804
hui tan 	會談	c=1 d=1 t=196910
hui tou 	回頭	c=2 d=8.63524e-10 t=211804
hui tu 	繪圖	c=9 d=0.000397625 t=211804
hui tui 	回退	c=10 d=0.000953854 t=211804
hui wang 	回望	c=1 d=1 t=199901
hui wei 	回味	c=1 d=0.537944 t=211804
hui wo 	回我	c=1 d=4.2025e-08 t=211804
hui xia 	麾下	c=1 d=1 t=209506
hui xian ru 	會陷入	c=1 d=1.93671e-41 t=211804
hui xiang 	回想	c=9 d=0.00195457 t=211804
hui xiang qi lai 	回想起來	c=2 d=1.02832e-05 t=211804
