# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	7834
#@/user_id	linusboyle
a 	啊	c=2 d=5.95428e-11 t=7834
wu jian 	舞劍	c=0 d=0.1 t=6934
wu jian shi 	舞劍士	c=1 d=1 t=6935
wu li 	武力	c=2 d=0.114736 t=7834
wu li 	物理	c=6 d=0.742343 t=7834
wu li jing sai 	物理競賽	c=1 d=1 t=7375
wu li shi jie 	物理世界	c=1 d=5.65911e-09 t=7834
wu li shi yan 	物理實驗	c=1 d=1 t=7827
wu liao 	無聊	c=1 d=0.000553084 t=7834
wu lun 	無論	c=2 d=0.0128427 t=7834
wu lun ru he 	無論如何	c=1 d=6.9827e-11 t=7834
wu ming 	無名	c=1 d=0.000397625 t=7834
wu pi 	五皮	c=3 d=0.0837432 t=7834
wu pi lang zhong 	五皮郎中	c=1 d=8.50523e-08 t=7834
wu pin 	物品	c=1 d=0.10383 t=7834
wu qi 	武器	c=2 d=0.189852 t=7834
wu ran 	污染	c=1 d=0.00010622 t=7834
wu shen tong 	五神通	c=1 d=0.0254765 t=7834
wu tai 	舞臺	c=1 d=5.75754e-06 t=7834
wu xiao 	無效	c=2 d=0.895843 t=7834
wu xin 	無心	c=0 d=8.3786e-09 t=7834
xi 	戲	c=1 d=0.179964 t=7834
xi 	稀	c=0 d=0.1 t=6657
xi 	系	c=1 d=4.68684e-05 t=7834
xi ben 	戲本	c=1 d=7.35596e-06 t=7834
xi fang 	西方	c=1 d=1 t=7684
xi guan 	習慣	c=1 d=1 t=6675
xi jie 	細節	c=1 d=0.00690852 t=7834
xi lie 	系列	c=2 d=0.000296267 t=7834
xi mi 	戲迷	c=6 d=0.0728029 t=7834
xi nao 	洗腦	c=1 d=7.81215e-08 t=7834
xi qing 	系慶	c=2 d=0.00431184 t=7834
xi qu 	戲曲	c=0 d=1.25946e-09 t=7834
xi qu yi shu 	戲曲藝術	c=1 d=1.26577e-08 t=7834
xi sheng 	犧牲	c=3 d=3.09812e-07 t=7834
xi shu 	係數	c=2 d=1 t=7834
xi tong 	系統	c=4 d=0.118262 t=7834
xi tong diao yong 	系統調用	c=2 d=0.0329965 t=7834
xi wai 	戲外	c=2 d=5.23728e-08 t=7834
xi wang 	希望	c=4 d=0.268547 t=7834
xi wei 	稀微	c=1 d=1 t=7777
xi wei de feng zhong 	稀微的風中	c=1 d=1 t=6658
xi yin 	吸引	c=1 d=4.29923e-11 t=7834
xi zhi 	細緻	c=1 d=3.05954e-09 t=7834
xia 	下	c=11 d=0.161218 t=7834
xia ban 	下半	c=1 d=0.000468957 t=7834
xia ban nian 	下半年	c=1 d=0.000757869 t=7834
xia biao 	下標	c=1 d=1 t=7774
xia lai 	下來	c=1 d=0.000596161 t=7834
xia luo ke 	夏洛克	c=1 d=0.00491728 t=7834
xia yi bu 	下一步	c=0 d=0.00816756 t=7834
xia zai 	下載	c=5 d=0.0071451 t=7834
xian 	仙	c=1 d=0.0223708 t=7834
xian 	先	c=2 d=0.0129464 t=7834
xian dai 	現代	c=2 d=2.11817e-08 t=7834
xian dai bu dai xi 	現代布袋戲	c=1 d=1.21007e-08 t=7834
xian de 	顯得	c=1 d=0.01649 t=7834
xian ding 	限定	c=2 d=0.0885094 t=7834
xian ding si 	限定死	c=1 d=0.0154523 t=7834
xian jin 	先進	c=1 d=0.00778933 t=7834
xian ka 	顯卡	c=1 d=4.85909e-10 t=7834
xian qing yi zhi 	閒情逸致	c=1 d=0.66034 t=7834
xian ran 	顯然	c=2 d=0.0485578 t=7834
xian shang shi 	先上市	c=1 d=1 t=6942
xian sheng 	先生	c=2 d=2.40519e-09 t=7834
xian shi 	閒時	c=1 d=0.57695 t=7834
xian shi 	顯示	c=3 d=0.00355294 t=7834
xian shi dai 	現時代	c=1 d=1 t=7661
xian shi de 	顯示的	c=1 d=1 t=7523
xian shi qi 	顯示器	c=1 d=2.51664e-05 t=7834
xian shi shi jie 	現實世界	c=1 d=4.14064e-10 t=7834
xian shuo 	先說	c=1 d=9.44684e-08 t=7834
xian suo 	線索	c=1 d=7.90975e-07 t=7834
xian xing 	線性	c=1 d=1 t=6837
xian yan 	先驗	c=1 d=4.76287e-10 t=7834
xian yu 	鹹魚	c=1 d=0.00308872 t=7834
xian yun 	閒雲	c=1 d=0.496585 t=7834
xian zai 	現在	c=12 d=0.572456 t=7834
xian zhe 	閒着	c=1 d=0.000550326 t=7834
xian zhi 	限制	c=4 d=0.115737 t=7834
xian zhuang 	現狀	c=1 d=8.15063e-07 t=7834
xian zong 	仙蹤	c=1 d=0.000395642 t=7834
xiang 	像	c=6 d=0.581664 t=7834
xiang 	向	c=4 d=1.5177 t=7834
xiang 	想	c=4 d=0.39577 t=7834
xiang 	相	c=1 d=8.9167e-05 t=7834
xiang dao le 	想到了	c=1 d=1 t=6778
xiang deng 	相等	c=2 d=2.56734e-05 t=7834
xiang dui 	相對	c=1 d=1 t=7832
xiang fei 	湘妃	c=0 d=3.09776e-09 t=7834
xiang fu wu qi 	向服務器	c=1 d=0.955997 t=7834
xiang fu xiang cheng 	相輔相成	c=1 d=0.0780817 t=7834
xiang guan 	相關	c=2 d=1.19901e-09 t=7834
xiang hao 	向好	c=1 d=4.77439e-09 t=7834
xiang hou 	向後	c=1 d=0.000769323 t=7834
xiang hu 	相互	c=4 d=0.00556614 t=7834
xiang lai 	向來	c=1 d=6.1009e-11 t=7834
xiang lai 	想來	c=1 d=1.03116e-08 t=7834
xiang lian 	項鍊	c=1 d=0.00451658 t=7834
xiang lin 	相鄰	c=1 d=1.24349e-05 t=7834
xiang mu 	項目	c=13 d=0.00126207 t=7834
xiang qi 	想起	c=3 d=0.0267829 t=7834
xiang qi 	象棋	c=1 d=0.852144 t=7834
xiang shang 	向上	c=1 d=0.00427488 t=7834
xiang shi 	像是	c=2 d=0.00104779 t=7834
xiang si 	相似	c=1 d=1 t=6741
xiang si 	相思	c=3 d=3.57365e-07 t=7834
xiang tong 	相同	c=1 d=0.509156 t=7834
xiang xia 	向下	c=1 d=0.00396599 t=7834
xiang xiang 	想想	c=2 d=0.0175975 t=7834
xiang ying 	相應	c=2 d=0.00270093 t=7834
xiang you 	向右	c=1 d=9.68434e-06 t=7834
xiang yu 	相遇	c=1 d=0.00247875 t=7834
xiang zuo 	向左	c=1 d=9.58798e-06 t=7834
xiao 	小	c=1 d=1 t=7685
xiao 	校	c=1 d=0.000493001 t=7834
xiao 	梟	c=1 d=0.402524 t=7834
xiao dui 	小隊	c=1 d=1 t=6732
xiao fei 	消費	c=1 d=0.0731678 t=7834
xiao gai lv 	小概率	c=1 d=0.0217096 t=7834
xiao ge 	校歌	c=2 d=1.99005 t=7716
xiao lv 	效率	c=4 d=0.202148 t=7834
xiao mie 	消滅	c=1 d=0.127454 t=7834
xiao nei 	校內	c=1 d=0.000662162 t=7834
xiao ping 	小評	c=6 d=0.891059 t=7834
xiao shi 	蕭氏	c=1 d=0.113608 t=7834
xiao wu 	小屋	c=0 d=0.0650509 t=7834
xiao xi 	消息	c=1 d=0.644036 t=7834
xiao xiong 	梟雄	c=1 d=0.276651 t=7834
xiao xue qi 	小學期	c=1 d=3.09724e-06 t=7834
xiao yao 	逍遙	c=0 d=7.4684e-09 t=7834
xiao yao xue zhe 	逍遙學者	c=1 d=7.50584e-08 t=7834
xiao yu 	小於	c=1 d=1.28779e-05 t=7834
xiao yuan 	校園	c=1 d=0.000584356 t=7834
xie 	寫	c=4 d=0.0258744 t=7834
xie dai 	攜帶	c=1 d=0.00904991 t=7834
xie de 	寫的	c=1 d=5.38311e-09 t=7834
xie e 	邪惡	c=1 d=0.0042963 t=7834
xie ju ping 	寫劇評	c=1 d=0.0992613 t=7834
xie le 	寫了	c=2 d=0.012652 t=7834
xie le yi ge 	寫了一個	c=1 d=0.000652304 t=7834
xie lou 	泄漏	c=0 d=0.1 t=7628
xie lu 	泄露	c=1 d=0.0149208 t=7834
xie po 	脅迫	c=1 d=2.03012e-07 t=7834
xie xie 	謝謝	c=2 d=0.00744658 t=7834
xie yi ge 	寫一個	c=1 d=1 t=7633
xie zhe 	寫着	c=1 d=0.0159229 t=7834
xin 	新	c=5 d=0.465367 t=7834
xin de 	新的	c=8 d=0.289387 t=7834
xin hao 	信號	c=11 d=4.96186 t=7834
xin hao cao 	信號槽	c=1 d=0.891366 t=7834
xin hao qiang 	信號槍	c=1 d=0.0107807 t=7834
xin jian 	新建	c=1 d=9.35125e-06 t=7834
xin pian 	芯片	c=6 d=0.000140424 t=7834
xin ren 	信任	c=2 d=0.0241131 t=7834
xin shen mo 	新神魔	c=5 d=0.0120344 t=7834
xin si 	心思	c=1 d=4.12995e-09 t=7834
xin tou 	心頭	c=1 d=0.0020601 t=7834
xin tu 	信徒	c=1 d=0.00166989 t=7834
xin wei 	欣慰	c=1 d=0.0837432 t=7834
xin xi 	信息	c=7 d=2.19819 t=7834
xin xi 	新戲	c=0 d=0.00652193 t=7834
xin xi mi 	新戲迷	c=1 d=0.0655462 t=7834
xin xing 	新興	c=2 d=1.93568e-09 t=7834
xin xue lai chao 	心血來潮	c=1 d=0.000675539 t=7834
xin yang 	信仰	c=1 d=0.00147367 t=7834
xin yong bu 	信用部	c=1 d=2.03572e-10 t=7834
xin zeng jia 	新增加	c=1 d=0.000841773 t=7834
xing 	性	c=3 d=2.00038e-08 t=7834
xing cheng 	形成	c=2 d=0.00585769 t=7834
xing ming 	姓名	c=1 d=6.23919e-10 t=7834
xing neng 	性能	c=2 d=0.00893212 t=7834
xing qi 	星期	c=1 d=1.07065e-09 t=7834
xing qi er 	星期二	c=2 d=0.067885 t=7834
xing qi san 	星期三	c=1 d=1 t=7297
xing qi si 	星期四	c=1 d=1 t=7298
xing qi wu 	星期五	c=1 d=1 t=7299
xing qi yi 	星期一	c=2 d=0.0675464 t=7834
xing qiu da zhan 	星球大戰	c=1 d=2.22131e-07 t=7834
xing qu 	興趣	c=1 d=0.0266491 t=7834
xing shi 	形式	c=1 d=1.39552e-09 t=7834
xing shu 	行書	c=1 d=5.56046e-08 t=7834
xing wei 	行爲	c=5 d=0.0710054 t=7834
xing yun 	行雲	c=0 d=8.29523e-09 t=7834
xing yun fei 	行雲飛	c=1 d=8.33681e-08 t=7834
xiu gai 	修改	c=5 d=1.60059 t=7834
xiu mi 	秀米	c=1 d=0.427415 t=7834
xiu shi 	修飾	c=1 d=0.0290133 t=7834
xu 	虛	c=0 d=4.7843e-05 t=7834
xu 	須	c=1 d=1 t=6913
xu duo 	許多	c=1 d=3.28932e-08 t=7834
xu han shu 	虛函數	c=1 d=0.000480828 t=7834
xu hao 	序號	c=1 d=0.0193512 t=7834
xu jiu 	許久	c=1 d=5.67375e-10 t=7834
xu lun 	緒論	c=3 d=2.9714 t=7388
xu lun ke 	緒論課	c=3 d=1.02832 t=7347
xu ni ji 	虛擬機	c=1 d=0.000495472 t=7834
xu qiu 	需求	c=2 d=0.00463097 t=7834
xu wu piao miao 	虛無縹緲	c=1 d=2.31794e-08 t=7834
xu yao 	需要	c=14 d=1.92316 t=7834
xu yao zhu yi 	需要注意	c=1 d=0.00257991 t=7834
xuan chuan 	宣傳	c=3 d=1.29217e-10 t=7834
xuan hua 	喧譁	c=1 d=2.47362e-08 t=7834
xuan ran 	渲染	c=5 d=2.17974 t=7834
xuan ran jin cheng 	渲染進程	c=1 d=0.666977 t=7834
xuan si 	懸絲	c=1 d=5.1578e-06 t=7834
xuan ze 	選擇	c=3 d=0.481909 t=7834
xuan zhuan 	旋轉	c=5 d=0.000115675 t=7834
xue 	學	c=1 d=0.000170806 t=7834
xue hui le 	學會了	c=1 d=7.96861e-06 t=7834
xue lang 	血浪	c=1 d=9.2136e-08 t=7834
xue lang 	血狼	c=1 d=9.25978e-08 t=7834
xue liu 	血流	c=0 d=0.0276651 t=7834
xue liu wan li 	血流萬里	c=1 d=0.278037 t=7834
xue mo 	血魔	c=0 d=0.00972957 t=7834
xue mo jie 	血魔劫	c=1 d=0.0977834 t=7834
xue nian 	學年	c=1 d=0.000514597 t=7834
xue qian qiu 	學千秋	c=6 d=0.0237553 t=7834
xue sheng 	學生	c=3 d=0.111425 t=7834
xue sheng hui 	學生會	c=3 d=0.00141078 t=7834
xue xi 	學習	c=3 d=0.00256983 t=7834
xue xi sheng huo 	學習生活	c=1 d=0.000411789 t=7834
xue xiao 	學校	c=2 d=0.00399453 t=7834
xue zha 	學渣	c=1 d=0.000590229 t=7834
xue zhang 	學長	c=1 d=2.64702e-11 t=7834
xue zhe 	學者	c=0 d=7.4684e-09 t=7834
xun huan 	循環	c=2 d=0.932394 t=7834
xun su 	迅速	c=1 d=3.55529e-11 t=7834
xun zhi 	尋址	c=1 d=1 t=7501
ya 	亞	c=0 d=0.000491728 t=7834
ya li 	壓力	c=3 d=0.995012 t=7834
yan 	演	c=1 d=1.12264e-08 t=7834
yan 	眼	c=0 d=0.00170774 t=7834
yan bian 	演變	c=1 d=0.22313 t=7834
yan chi 	延遲	c=1 d=0.00050296 t=7834
yan chu 	演出	c=2 d=0.00354788 t=7834
yan dai mo jing 	眼戴墨鏡	c=1 d=0.017163 t=7834
yan gai 	掩蓋	c=3 d=0.334937 t=7834
yan ge 	嚴格	c=1 d=2.13384e-05 t=7834
yan hou 	延後	c=1 d=0.000252273 t=7834
yan jiu 	研究	c=1 d=0.00199922 t=7834
yan se 	顏色	c=5 d=1.75228 t=7834
yan xi 	研習	c=1 d=1 t=7662
yan xiao yun san 	煙消雲散	c=1 d=1.98033e-09 t=7834
yan yun 	燕雲	c=0 d=9.07643e-09 t=7834
yan yun fei 	燕雲飛	c=1 d=9.12192e-08 t=7834
yan zhong 	嚴重	c=1 d=0.105928 t=7834
yang 	殃	c=1 d=1 t=6727
yang guan 	洋館	c=1 d=0.00499159 t=7834
yang jin zhou 	殃金咒	c=1 d=1 t=7744
yang li 	樣例	c=1 d=4.62054e-06 t=7834
yang mao 	樣貌	c=1 d=0.0154523 t=7834
yang shi 	樣式	c=1 d=1 t=7819
yang zi 	樣子	c=2 d=0.0247372 t=7834
yao 	姚	c=0 d=8.25245e-07 t=7834
yao 	要	c=6 d=0.257208 t=7834
yao chan wan guan 	腰纏萬貫	c=1 d=0.0257325 t=7834
yao guo wu 	姚國武	c=1 d=1 t=7307
yao hai long 	姚海龍	c=2 d=1.88374e-05 t=7834
yao qiu 	要求	c=4 d=0.540923 t=7834
yao shen yi bian 	搖身一變	c=1 d=0.0187793 t=7834
yao shi 	要是	c=0 d=0.0232236 t=7834
yao shi yong 	要使用	c=1 d=0.00609675 t=7834
yao shuo 	要說	c=1 d=0.118245 t=7834
yao zhao 	要找	c=1 d=0.139457 t=7834
ye 	也	c=18 d=0.274833 t=7834
ye 	業	c=1 d=6.04019e-11 t=7834
ye 	葉	c=2 d=1.47473 t=7481
ye bao kuo 	也包括	c=1 d=2.77508e-08 t=7834
ye bu cuo 	也不錯	c=1 d=2.1992e-07 t=7834
ye bu hui 	也不會	c=1 d=1 t=6644
ye bu shao 	也不少	c=1 d=1 t=7431
ye bu shi 	也不是	c=1 d=1.4306e-07 t=7834
ye bu xu yao 	也不需要	c=1 d=3.26502e-09 t=7834
ye bu zhi dao 	也不知道	c=1 d=0.00223168 t=7834
ye cha bu duo 	也差不多	c=1 d=0.162838 t=7834
ye fei 	也非	c=0 d=1.50784e-09 t=7834
ye fei shi 	也非是	c=1 d=1.5154e-08 t=7834
ye hai 	也還	c=1 d=1.1398e-10 t=7834
ye hao 	也好	c=2 d=1.9377e-10 t=7834
ye he 	野鶴	c=1 d=0.494109 t=7834
ye he xian yun 	野鶴閒雲	c=2 d=1.33268 t=7834
ye hen jian dan 	也很簡單	c=2 d=0.0181334 t=7834
ye hui 	也會	c=2 d=0.579842 t=7834
ye ke yi 	也可以	c=2 d=2.05305e-10 t=7834
ye mian qiang 	也勉強	c=1 d=0.000599149 t=7834
ye nei 	業內	c=1 d=7.41323e-09 t=7834
ye shi 	也是	c=7 d=0.950785 t=7834
ye shuo 	野說	c=2 d=0.000710905 t=7834
ye shuo bu dai xi 	野說布袋戲	c=11 d=0.501011 t=7834
ye suan shi 	也算是	c=3 d=0.195538 t=7834
ye tai xi 	野臺戲	c=0 d=6.70777e-10 t=7834
ye tai xi ou 	野臺戲偶	c=1 d=6.74139e-09 t=7834
ye xi wang 	也希望	c=1 d=1.72133e-07 t=7834
ye xu 	也許	c=9 d=0.0611161 t=7834
ye you 	也有	c=5 d=0.147685 t=7834
ye yu 	業餘	c=1 d=4.26529e-06 t=7834
ye zai 	也在	c=1 d=8.83098e-09 t=7834
yi 	一	c=1 d=0.0485578 t=7834
yi 	以	c=5 d=0.726171 t=7834
yi 	意	c=2 d=0.0147723 t=7834
yi 	義	c=1 d=2.44226e-05 t=7834
yi 	衣	c=1 d=3.73694e-09 t=7834
yi ban qing kuang xia 	一般情況下	c=1 d=0.218712 t=7834
yi bei 	以備	c=1 d=0.0112769 t=7834
yi bian 	一邊	c=2 d=0.104421 t=7834
yi bian bian 	一遍遍	c=1 d=4.27706e-09 t=7834
yi bu 	異步	c=4 d=0.00564295 t=7834
yi chen bu ran 	一塵不染	c=1 d=0.786628 t=7834
yi chuan 	一串	c=1 d=0.00444934 t=7834
yi ci 	一次	c=4 d=0.00458484 t=7834
yi dan 	一旦	c=1 d=0.213312 t=7834
yi dao 	一道	c=2 d=0.0322488 t=7834
yi dian 	一點	c=4 d=0.155842 t=7834
yi dian ban dian 	一點半點	c=1 d=1 t=7617
yi ding 	一定	c=3 d=0.690269 t=7834
yi dong 	移動	c=3 d=1.1479 t=7493
yi fan 	一番	c=1 d=0.540641 t=7834
yi ge 	一個	c=25 d=0.788024 t=7834
yi ge duo xing qi 	一個多星期	c=1 d=9.54341e-10 t=7834
yi ge ren 	一個人	c=1 d=2.71311e-07 t=7834
yi ge xing qi 	一個星期	c=1 d=0.000237581 t=7834
yi guan 	一貫	c=1 d=0.0232837 t=7834
yi han 	遺憾	c=1 d=0.000415927 t=7834
yi han de 	遺憾的	c=1 d=0.000754089 t=7834
yi hou 	以後	c=1 d=0.000925663 t=7834
yi ji 	以及	c=2 d=0.511709 t=7834
yi jia 	一家	c=1 d=7.2344e-07 t=7834
yi jing 	已經	c=11 d=0.669875 t=7834
yi jing suan shi 	已經算是	c=1 d=0.0578443 t=7834
yi jiu 	依舊	c=1 d=5.57485e-09 t=7834
yi jiu shi 	依舊是	c=1 d=0.806541 t=7834
yi ju 	一句	c=0 d=3.6084e-10 t=7834
yi ju 	依據	c=1 d=0.00180897 t=7834
yi ju hua 	一句話	c=1 d=2.58747e-08 t=7834
yi ju shi 	一句詩	c=1 d=3.62649e-09 t=7834
yi kai shi 	一開始	c=5 d=0.396538 t=7834
yi lai 	一來	c=1 d=1 t=7495
yi lai 	以來	c=1 d=3.39827e-09 t=7834
yi lai 	依賴	c=1 d=2.56748e-05 t=7834
yi lei 	一類	c=2 d=1.11572e-05 t=7834
yi men 	一門	c=1 d=8.83248e-11 t=7834
yi ming 	一名	c=3 d=0.145777 t=7834
yi nian duo 	一年多	c=1 d=3.38132e-09 t=7834
yi ping 	一瓶	c=1 d=0.115903 t=7834
yi qian 	以前	c=6 d=0.409139 t=7834
yi qie 	一切	c=2 d=0.0236359 t=7834
yi ran 	依然	c=2 d=0.0253494 t=7834
yi se 	一色	c=1 d=3.7183e-09 t=7834
yi se yi 	一色衣	c=2 d=0.444155 t=7834
yi shang 	以上	c=1 d=0.316637 t=7834
yi sheng 	醫生	c=1 d=0.00474815 t=7834
yi shi 	亦是	c=1 d=1.03901e-09 t=7834
yi shu 	藝術	c=0 d=0.00773047 t=7834
yi shu tuan 	藝術團	c=1 d=0.000735471 t=7834
yi shu xing shi 	藝術形式	c=1 d=1.35078e-08 t=7834
yi si 	意思	c=3 d=0.00577106 t=7834
yi tai 	一臺	c=1 d=0.00585769 t=7834
yi tai 	以太	c=0 d=1.17451e-11 t=7834
yi tai fang 	以太坊	c=1 d=1.1804e-10 t=7834
yi tao 	一套	c=1 d=0.00932553 t=7834
yi ti 	一提	c=2 d=0.000537087 t=7834
yi ti 	一體	c=1 d=3.4837e-07 t=7834
yi tiao 	一條	c=1 d=0.0115624 t=7834
yi tiao xian 	一條線	c=2 d=5.9083e-07 t=7834
yi wei 	一位	c=1 d=5.08274e-10 t=7834
yi wei zhe 	意味着	c=1 d=0.000443861 t=7834
yi wen 	疑問	c=1 d=0.00208081 t=7834
yi xi lie 	一系列	c=2 d=0.440432 t=7834
yi xia 	一下	c=3 d=0.000447352 t=7834
yi xia 	以下	c=1 d=0.000466618 t=7834
yi xia ji 	義俠記	c=1 d=1 t=7745
yi xie 	一些	c=8 d=0.687289 t=7834
yi yang 	一樣	c=4 d=5.30849e-06 t=7834
yi yang de 	一樣的	c=1 d=5.13208e-06 t=7834
yi yi 	意義	c=1 d=1 t=7665
yi you 	已有	c=1 d=6.99959e-10 t=7834
yi yu 	異域	c=11 d=1.35717 t=7834
yi yu cai zi 	異域才子	c=1 d=0.0258615 t=7834
yi zhi 	一直	c=1 d=0.00733572 t=7834
yi zhi ling ren 	一直令人	c=1 d=2.42463e-08 t=7834
yi zhi xing 	一致性	c=1 d=5.87485e-08 t=7834
yi zhong 	一種	c=5 d=0.0536674 t=7834
yi zhuang 	一幢	c=1 d=0.00612731 t=7834
yi zu 	一族	c=1 d=3.19982e-07 t=7834
yin 	印	c=2 d=0.0100106 t=7834
yin 	引	c=1 d=8.06953e-07 t=7834
yin cang 	隱藏	c=5 d=0.00684108 t=7834
yin ci 	因此	c=2 d=1.65001e-07 t=7834
yin han 	隱含	c=1 d=0.00148106 t=7834
yin hang ka 	銀行卡	c=2 d=0.191498 t=7834
yin lun 	引論	c=1 d=1 t=7306
yin su 	因素	c=2 d=4.67868e-08 t=7834
yin wei 	因爲	c=9 d=0.295749 t=7834
yin yin 	隱隱	c=1 d=0.00153381 t=7834
yin yue 	音樂	c=4 d=1.20807 t=7834
yin yue de hua 	音樂的話	c=1 d=2.49245e-09 t=7834
yin zheng 	印證	c=1 d=5.46539e-11 t=7834
ying de 	贏得	c=1 d=0.0232837 t=7834
ying er 	嬰兒	c=1 d=1.05744e-10 t=7834
ying gai 	應該	c=10 d=0.100931 t=7834
ying gai shi 	應該是	c=1 d=6.67317e-07 t=7834
ying wen 	英文	c=1 d=1.97966e-05 t=7834
ying xiang 	影響	c=2 d=2.64492e-09 t=7834
ying xiong 	英雄	c=0 d=2.06543e-05 t=7834
ying xiong chuan 	英雄傳	c=1 d=0.449329 t=7834
ying xiong zhuan 	英雄轉	c=1 d=0.000207579 t=7834
ying yong 	應用	c=13 d=0.268474 t=7834
ying you jin you 	應有盡有	c=1 d=0.008271 t=7834
ying yu 	英語	c=1 d=0.00577048 t=7834
yong 	用	c=17 d=1.58775 t=7834
yong bu shang 	用不上	c=1 d=1.17411e-06 t=7834
yong dao 	用到	c=3 d=0.0317606 t=7834
yong hu 	用戶	c=5 d=1.1203 t=7834
yong hu ming 	用戶名	c=3 d=0.423162 t=7834
yong hu you hao 	用戶友好	c=1 d=5.78739e-08 t=7834
yong lai 	用來	c=3 d=0.0243011 t=7834
yong le 	用了	c=1 d=1 t=7589
yong ta 	用他	c=1 d=0.0143357 t=7834
yong ta 	用它	c=1 d=1 t=7162
yong tu 	用途	c=1 d=1.37096e-06 t=7834
yong yi 	用以	c=2 d=0.000111783 t=7834
yong you 	擁有	c=1 d=0.00711891 t=7834
yong yu 	用於	c=7 d=0.00659323 t=7834
yong yuan 	永遠	c=3 d=0.0124007 t=7834
yong zai 	用在	c=0 d=0.00510474 t=7834
yong zai zhe er 	用在這兒	c=1 d=0.0513033 t=7834
yong zhe ge 	用這個	c=0 d=6.45813e-05 t=7834
yong zhe ge ku 	用這個庫	c=1 d=0.000649051 t=7834
yong zuo 	用作	c=1 d=0.000108366 t=7834
you 	又	c=1 d=1 t=7253
you 	尤	c=1 d=0.0531307 t=7834
you 	有	c=22 d=1.94562 t=7834
you 	猶	c=1 d=0.053397 t=7834
you 	由	c=7 d=0.0100548 t=7834
you ci 	有此	c=3 d=4.87017e-06 t=7834
you ci 	由此	c=1 d=3.39769e-07 t=7834
you ci biao shi 	有此標識	c=3 d=5.36809e-06 t=7834
you de shi 	有的是	c=1 d=2.511e-08 t=7834
you dian 	有點	c=2 d=0.505544 t=7834
you dui qi 	右對齊	c=1 d=1 t=7727
you fan hui 	有返回	c=1 d=1.44125e-06 t=7834
you guan 	有關	c=1 d=1.50007e-06 t=7834
you hai 	有害	c=1 d=5.04519e-11 t=7834
you hao 	友好	c=0 d=5.75852e-09 t=7834
you hen duo 	有很多	c=1 d=0.00810722 t=7834
you hua 	優化	c=2 d=0.0144076 t=7834
you huo zhe 	又或者	c=1 d=0.00231117 t=7834
you ke neng 	有可能	c=2 d=3.02234e-06 t=7834
you le 	有了	c=2 d=0.00170362 t=7834
you li 	有利	c=1 d=2.36517e-10 t=7834
you li 	遊歷	c=1 d=0.00141589 t=7834
you li yu 	有利於	c=1 d=7.3041e-11 t=7834
you lie 	優劣	c=1 d=0.092089 t=7834
you ming 	幽冥	c=3 d=0.951229 t=7834
you ming zhuan an 	由明轉暗	c=1 d=2.16646e-07 t=7834
you peng 	友棚	c=1 d=0.0632918 t=7834
you qi 	尤其	c=1 d=0.00209124 t=7834
you qi shi 	尤其是	c=2 d=0.0160027 t=7834
you sha yong 	有啥用	c=1 d=0.0168231 t=7834
you shi 	優勢	c=3 d=2.9089e-10 t=7834
you shi 	又是	c=1 d=2.9835e-07 t=7834
you shi 	有時	c=1 d=0.585669 t=7834
you shi jian 	有時間	c=1 d=0.000649051 t=7834
you suo 	有所	c=1 d=0.0347353 t=7834
you suo bao liu 	有所保留	c=1 d=1.25642e-09 t=7834
you suo guan lian 	有所關聯	c=2 d=1.2656e-06 t=7834
you te shu 	有特殊	c=1 d=0.00232276 t=7834
you tong xue 	有同學	c=1 d=0.00316691 t=7834
you wu 	有誤	c=1 d=1 t=7441
you xi 	遊戲	c=10 d=2.20707 t=7834
you xi fu wu qi 	遊戲服務器	c=2 d=0.539106 t=7834
you xi ming 	遊戲名	c=2 d=0.212472 t=7834
you xiao 	有效	c=1 d=0.70822 t=7834
you xie 	有些	c=2 d=0.0464212 t=7834
you xie shi hou 	有些時候	c=1 d=0.181772 t=7834
you xiu de 	優秀的	c=1 d=2.74131e-11 t=7834
you ya 	優雅	c=1 d=1.58871e-05 t=7834
you yi 	友誼	c=1 d=0.000198445 t=7834
you yi 	有意	c=1 d=0.331211 t=7834
you yi dian 	有一點	c=1 d=0.0101022 t=7834
you yi ge 	又一個	c=1 d=0.0424257 t=7834
you yi ge 	有一個	c=2 d=0.00719226 t=7834
you yi ju 	有一句	c=1 d=3.5725e-09 t=7834
you yi tian 	又一天	c=3 d=0.819402 t=7834
you yi xie 	有一些	c=1 d=0.00305798 t=7834
you yi zhong 	有一種	c=2 d=0.00215492 t=7834
you yong 	有用	c=1 d=0.00245409 t=7834
you yong wu mou 	有勇無謀	c=1 d=2.4305e-07 t=7834
you yu 	由於	c=3 d=0.00267156 t=7834
you zhe 	有着	c=2 d=0.0488012 t=7834
you zhi 	優質	c=2 d=0.000314351 t=7834
you zhi 	幼稚	c=1 d=0.0982736 t=7834
yu 	域	c=1 d=1 t=7780
yu 	御	c=0 d=4.72608e-08 t=7834
yu 	於	c=7 d=0.038208 t=7834
yu 	與	c=18 d=0.926071 t=7834
yu 	虞	c=0 d=3.02128e-09 t=7834
yu 	遇	c=1 d=7.54346e-08 t=7834
yu ce 	預測	c=1 d=3.12135e-09 t=7834
yu dao 	遇到	c=1 d=0.00506703 t=7834
yu fa 	語法	c=1 d=4.03704e-06 t=7834
yu fou 	與否	c=2 d=0.519442 t=7834
